Pres,Type,ID,slope,perm,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,sden.mean,sden.std,avgEVI.lag,sum.days.above.21
1,vocal,34,0.562617064,38.87910461,27.59551239,-31.44552231,112,8,582.0352173,86.39884949,0.359845698,15
1,both,35,0.155079067,104,26.78454399,-37.25,112,7,601.8878174,73.07639313,0.216641799,11
1,vocal,36,0.158500537,86.32676697,26.78454399,-37.25,112,7,601.8878174,73.07639313,0.235399574,11
1,both,37,0.564096332,80.26286316,26.78454399,-37.25,112,7,601.8878174,73.07639313,0.235399574,11
1,both,38,0.364401489,66.79801941,26.78454399,-37.25,112,7,601.8878174,73.07639313,0.247457206,11
1,vocal,39,0.217606291,104,25.80914116,-37.1369133,111,7,604.1850586,74.03622437,0.27885884,11
1,vocal,40,0.37645492,104,25.80914116,-37.1369133,111,7,604.1850586,74.03622437,0.201830089,11
1,vocal,41,0.308438629,11.06420708,27.02391052,-31.24786377,116,8,583.6119995,88.20030212,0.329298168,16
1,vocal,42,0.281501323,80.10418701,27.02391052,-31.24786377,116,8,583.6119995,88.20030212,0.329298168,16
1,vocal,43,0.5546453,104,25.43582344,-36.84471512,118,7,604.1850586,74.03622437,0.142926365,12
1,indiv,44,0.41428709,21.3531456,27.13736725,-41.20999908,115,8,601.8878174,73.07639313,0.261664212,16
1,vocal,45,0.502055526,30.38487816,27.13736725,-41.20999908,115,8,601.8878174,73.07639313,0.253562152,16
1,indiv,46,0.363943607,34.09574127,26.89253998,-41.20999908,114,8,601.8878174,73.07639313,0.251838177,13
1,vocal,47,0.394120753,60.02058792,26.89253998,-41.20999908,114,8,601.8878174,73.07639313,0.254090846,13
1,indiv,48,0.179499134,98.78424835,26.89253998,-41.20999908,114,8,601.8878174,73.07639313,0.317440182,13
1,vocal,49,0.379914939,24.94395065,26.3764286,-42.52480316,103,0,577.7645264,97.71113586,0.348251522,9
1,vocal,50,0.558352351,44.88616562,26.72042847,-42.65182495,105,0,577.7645264,97.71113586,0.27120629,9
1,vocal,51,0.041879576,53.19700623,31.19561005,-58.47000122,111,0,585.5460815,89.27440643,0.285066605,14
1,indiv,52,0.11849957,104,31.19561005,-58.47000122,111,0,585.5460815,89.27440643,0.285066605,14
1,indiv,53,0.614002228,103.7575912,31.19561005,-58.47000122,111,0,585.5460815,89.27440643,0.304995358,14
1,vocal,54,0.308438629,11.06420708,29.32394981,-58.25,108,0,583.6119995,88.20030212,0.352927566,15
1,vocal,55,0.535680711,104,30.98077583,-58.47000122,111,0,585.5460815,89.27440643,0.171848685,14
